user_id,first_name,last_name,age,city,reg_date,plan,churn_date,is_churned
10000,Carlos,Garcia,38,medellín,2022-01-01 00:00:00.000000000,Basico,,0
10001,Mateo,Torres,53,Unknown,2022-01-01 06:34:17.914478619,Basico,,0
10002,Sofia,Ramirez,57,cdmx,2022-01-01 13:08:35.828957239,Basico,,0
10003,Mateo,Ramirez,69,bogotá,2022-01-01 19:42:53.743435858,Premium,,0
10004,Mateo,Torres,63,guadalajara,2022-01-02 02:17:11.657914478,Basico,,0
10005,Luis,Garcia,61,monterrey,2022-01-02 08:51:29.572393098,Basico,,0
10006,Sofia,Lopez,39,bogotá,2022-01-02 15:25:47.486871717,Basico,,0
10007,Sofia,Gomez,70,medellín,2022-01-02 22:00:05.401350337,Premium,,0
10008,Sofia,Garcia,76,cdmx,2022-01-03 04:34:23.315828957,Basico,,0
10009,Mateo,Torres,47,bogotá,2022-01-03 11:08:41.230307576,Basico,,0
10010,Carlos,Gomez,67,bogotá,2022-01-03 17:42:59.144786196,Basico,,0
10011,Sofia,Ramirez,60,bogotá,2022-01-04 00:17:17.059264816,Premium,,0
10012,Mariana,Lopez,48,medellín,2022-01-04 06:51:34.973743435,Premium,,0
10013,Mateo,Ramirez,78,monterrey,2022-01-04 13:25:52.888222055,Premium,,0
10014,Luis,Torres,77,Unknown,2022-01-04 20:00:10.802700675,Basico,,0
10015,Carlos,Gomez,47,bogotá,2022-01-05 02:34:28.717179294,Basico,,0
10016,Mariana,Torres,25,bogotá,2022-01-05 09:08:46.631657914,Basico,,0
10017,Mariana,Gomez,51,cali,2022-01-05 15:43:04.546136534,Basico,,0
10018,Luis,Garcia,74,guadalajara,2022-01-05 22:17:22.460615153,Basico,,0
10019,Carlos,Lopez,64,cdmx,2022-01-06 04:51:40.375093773,Basico,,0
10020,Mateo,Garcia,26,medellín,2022-01-06 11:25:58.289572393,Premium,,0
10021,Ana,Garcia,68,bogotá,2022-01-06 18:00:16.204051012,Basico,,0
10022,Carlos,Torres,37,Unknown,2022-01-07 00:34:34.118529632,Basico,,0
10023,Luis,Lopez,57,Unknown,2022-01-07 07:08:52.033008252,Basico,,0
10024,Mariana,Gomez,42,monterrey,2022-01-07 13:43:09.947486871,Basico,,0
10025,Mateo,Gomez,36,bogotá,2022-01-07 20:17:27.861965491,Premium,,0
10026,Carlos,Ramirez,22,bogotá,2022-01-08 02:51:45.776444111,Premium,,0
10027,Ana,Gomez,28,monterrey,2022-01-08 09:26:03.690922730,Premium,,0
10028,Ana,Torres,32,cali,2022-01-08 16:00:21.605401350,Basico,,0
10029,Sofia,Garcia,25,cali,2022-01-08 22:34:39.519879970,Basico,,0
10030,Sofia,Garcia,36,bogotá,2022-01-09 05:08:57.434358589,Basico,,0
10031,Luis,Garcia,40,cdmx,2022-01-09 11:43:15.348837209,Premium,,0
10032,Carlos,Lopez,44,monterrey,2022-01-09 18:17:33.263315829,Premium,2024-06-13 23:06:40,1
10033,Carlos,Gomez,57,guadalajara,2022-01-10 00:51:51.177794448,Premium,,0
10034,Mariana,Torres,49,cali,2022-01-10 07:26:09.092273068,Basico,,0
10035,Mariana,Lopez,43,cdmx,2022-01-10 14:00:27.006751688,Basico,,0
10036,Mariana,Ramirez,44,cali,2022-01-10 20:34:44.921230307,Basico,,0
10037,Sofia,Torres,79,medellín,2022-01-11 03:09:02.835708927,Premium,,0
10038,Carlos,Torres,36,medellín,2022-01-11 09:43:20.750187547,Premium,2024-09-12 00:13:20,1
10039,Carlos,Torres,67,bogotá,2022-01-11 16:17:38.664666166,Premium,,0
10040,Ana,Garcia,59,medellín,,Basico,,0
10041,Sofia,Torres,46,medellín,2022-01-12 05:26:14.493623405,Basico,,0
10042,Mateo,Gomez,56,cali,2022-01-12 12:00:32.408102025,Basico,2024-07-22 23:13:20,1
10043,Sofia,Torres,77,bogotá,2022-01-12 18:34:50.322580645,Basico,,0
10044,Mateo,Garcia,58,bogotá,2022-01-13 01:09:08.237059264,Basico,2024-11-10 00:53:20,1
10045,Ana,Torres,50,medellín,2022-01-13 07:43:26.151537884,Basico,,0
10046,Luis,Ramirez,36,cdmx,2022-01-13 14:17:44.066016504,Premium,,0
10047,Carlos,Ramirez,54,bogotá,2022-01-13 20:52:01.980495123,Premium,2024-10-08 23:26:40,1
10048,Ana,Garcia,36,Unknown,2022-01-14 03:26:19.894973743,Basico,,0
10049,Carlos,Gomez,50,cdmx,2022-01-14 10:00:37.809452363,Basico,,0
10050,Mariana,Gomez,64,monterrey,2022-01-14 16:34:55.723930982,Basico,,0
10051,Luis,Lopez,33,monterrey,2022-01-14 23:09:13.638409602,Premium,,0
10052,Luis,Garcia,40,medellín,2022-01-15 05:43:31.552888222,Basico,,0
10053,Ana,Torres,24,cdmx,2022-01-15 12:17:49.467366841,Basico,,0
10054,Luis,Garcia,43,medellín,2022-01-15 18:52:07.381845461,Premium,2024-08-13 00:46:40,1
10055,Mateo,Lopez,49,cdmx,2022-01-16 01:26:25.296324081,Basico,,0
10056,Luis,Garcia,29,cdmx,,Basico,2024-07-25 01:13:20,1
10057,Carlos,Garcia,25,medellín,2022-01-16 14:35:01.125281320,Premium,,0
10058,Carlos,Lopez,22,monterrey,2022-01-16 21:09:19.039759940,Premium,,0
10059,Carlos,Gomez,59,Unknown,2022-01-17 03:43:36.954238559,Premium,,0
10060,Carlos,Torres,45,cdmx,,Basico,,0
10061,Mateo,Lopez,70,bogotá,2022-01-17 16:52:12.783195799,Basico,,0
10062,Sofia,Ramirez,22,cdmx,2022-01-17 23:26:30.697674418,Premium,,0
